epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,5347.15,0.64498,0.29976,0.81434,0.99023,0.98892,0.98859,0.86179,0.65729,0.33037,0.79311,0.00048275,0.00048275,0.00048275
64,5439.47,0.63773,0.30019,0.81727,0.99054,0.98853,0.98836,0.85834,0.67803,0.33629,0.7966,0.000470375,0.000470375,0.000470375
65,5521.44,0.64235,0.30352,0.81398,0.99043,0.98853,0.98924,0.86421,0.65741,0.32784,0.79292,0.000458,0.000458,0.000458
66,5603.18,0.63457,0.29658,0.81272,0.99036,0.98879,0.98766,0.86193,0.65563,0.32234,0.79251,0.000445625,0.000445625,0.000445625
67,5690.41,0.63834,0.29427,0.81391,0.98549,0.99451,0.98843,0.86789,0.66385,0.31421,0.79256,0.00043325,0.00043325,0.00043325
68,5781.45,0.64061,0.29986,0.81535,0.99091,0.989,0.98959,0.85891,0.66192,0.3225,0.79431,0.000420875,0.000420875,0.000420875
69,5864.34,0.63555,0.29924,0.81351,0.99013,0.98853,0.98896,0.86579,0.64961,0.31755,0.79247,0.0004085,0.0004085,0.0004085
70,5947.46,0.62251,0.29086,0.81037,0.98901,0.98853,0.98718,0.85846,0.66098,0.31928,0.79238,0.000396125,0.000396125,0.000396125
71,6032.34,0.62934,0.29182,0.81502,0.98971,0.98853,0.99003,0.86141,0.65656,0.32605,0.79359,0.00038375,0.00038375,0.00038375
72,6115.56,0.63273,0.29246,0.81366,0.99006,0.98845,0.98832,0.86611,0.64893,0.32194,0.7922,0.000371375,0.000371375,0.000371375
73,6200.07,0.62862,0.28903,0.81504,0.99111,0.98887,0.98789,0.86047,0.65357,0.32298,0.79316,0.000359,0.000359,0.000359
74,6283.09,0.62657,0.28553,0.81547,0.98943,0.99077,0.98991,0.87212,0.64661,0.31296,0.79044,0.000346625,0.000346625,0.000346625
75,6368.33,0.62559,0.28703,0.8091,0.99072,0.98891,0.98743,0.86101,0.64713,0.30772,0.79016,0.00033425,0.00033425,0.00033425
76,6450.72,0.6152,0.28681,0.81596,0.99084,0.98896,0.98892,0.86828,0.65538,0.30913,0.7918,0.000321875,0.000321875,0.000321875
77,6532.79,0.6187,0.28072,0.80717,0.99059,0.98899,0.98972,0.86941,0.64386,0.30822,0.79125,0.0003095,0.0003095,0.0003095
78,6618.77,0.61933,0.28616,0.81339,0.99027,0.98892,0.98904,0.86654,0.64556,0.30755,0.79097,0.000297125,0.000297125,0.000297125
79,6702.64,0.62487,0.28566,0.81171,0.99057,0.98933,0.98982,0.864,0.64876,0.3066,0.79129,0.00028475,0.00028475,0.00028475
80,6788.37,0.62104,0.2802,0.81371,0.99026,0.98893,0.98792,0.86303,0.64879,0.3082,0.79079,0.000272375,0.000272375,0.000272375
81,6869.91,0.61627,0.2809,0.81113,0.99044,0.98883,0.98887,0.86996,0.64104,0.30257,0.78967,0.00026,0.00026,0.00026
82,6954.06,0.62076,0.28133,0.80887,0.9902,0.98889,0.98883,0.87274,0.6367,0.30823,0.79011,0.000247625,0.000247625,0.000247625
83,7039.54,0.61426,0.27868,0.8128,0.99032,0.98853,0.98872,0.86923,0.64582,0.30431,0.79082,0.00023525,0.00023525,0.00023525
84,7126.44,0.61671,0.28125,0.80954,0.99089,0.98876,0.98866,0.86785,0.64002,0.30805,0.79057,0.000222875,0.000222875,0.000222875
85,7208.16,0.61387,0.27308,0.81057,0.99078,0.98913,0.98855,0.86892,0.64275,0.30339,0.79086,0.0002105,0.0002105,0.0002105
